Year,Imports Of Direct Tonnage (Tonne),  Imports Of Transhipment Tonnage (Tonne),  In-Coming Mail (Tonne),Total import,Exports Of Direct Tonnage (Tonne),  Exports Of Transhipment Tonnage (Tonne),  Out-Going Mail (Tonne),Total export,,
2000,579018,302539,6919,888476,562140,311765,11586,885491,,
2001,517215,317596,8609,843420,459621,323419,14823,797863,,
2002,530326,228308,8558,767192,502105,230199,20293,752597,,
2003,490809,407577,13779,912165,492601,406184,28785,927570,,
2004,531840,438581,13673,984094,552587,446304,26420,1025311,,
2005,541014,443104,13615,997733,576944,439368,26158,1042470,,
2006,580841,424939,14901,1020681,576013,420656,21990,1018659,,
2007,574408,387747,14459,976614,536277,388362,19386,944025,,
2008,562632,367776,14168,944576,508851,370561,22163,901575,,
2009,498571,376096,14770,889437,435063,377488,20973,833524,,
2010,596522,380576,15789,992887,520158,383853,19844,923855,,
2011,601523,381587,14361,997471,496063,386079,19235,901377,,
2012,595266,344881,11165,951312,469425,352249,16027,837701,,
2013,619713,348100,12111,979924,464407,352057,14938,831402,,
2014,636783,389306,12721,1038810,468680,396151,14234,879065,,
2015,627548,389463,10801,1027812,449428,394618,12592,856638,,
2016,659061,372034,8921,1040016,464779,382326,11746,858851,,
2017,712645,351127,8809,1072581,530109,364635,12080,906824,,
2018,726184,338743,9116,1074043,543810,351923,11438,907171,,
2019,676164,312246,9705,998115,524173,315750,11298,851221,,
2020,596271,304164,10442,910877,489323,301201,12166,802690,,
2021,694210,263423,10765,968398,611465,266803,12103,890371,,
2022,655452,269249,10847,935548,583201,272082,12074,867357,,
