Year,Origin,Number
2002,Asia,9532319
2002,European,1694194
2002,NorthAmerica,309828
2002,Others,2052309
2003,Asia,7836748
2003,European,1507976
2003,NorthAmerica,258683
2003,Others,1870284
2004,Asia,10011109
2004,European,1666500
2004,NorthAmerica,372240
2004,Others,2155343
2005,Asia,10857969
2005,European,1703353
2005,NorthAmerica,389192
2005,Others,2282048
2006,Asia,11945689
2006,European,1781350
2006,NorthAmerica,408054
2006,Others,2400158
2007,Asia,12775090
2007,European,1787620
2007,NorthAmerica,403189
2007,Others,2508568
2008,Asia,13036159
2008,European,1997923
2008,NorthAmerica,342480
2008,Others,2644310
2009,Asia,13153578
2009,European,1852790
2009,NorthAmerica,258379
2009,Others,2761283
2010,Asia,15484963
2010,European,1866350
2010,NorthAmerica,294725
2010,Others,2840412
2011,Asia,17525766
2011,European,1961008
2011,NorthAmerica,308425
2011,Others,2982950
2012,Asia,19333132
2012,European,2094736
2012,NorthAmerica,337295
2012,Others,3290791
2013,Asia,20791025
2013,European,1974576
2013,NorthAmerica,314661
2013,Others,3420097
2014,Asia,21046214
2014,European,1935611
2014,NorthAmerica,246056
2014,Others,3440890
2015,Asia,21643627
2015,European,1935619
2015,NorthAmerica,249303
2015,Others,3662547
2016,Asia,23130553
2016,European,1938953
2016,NorthAmerica,273345
2016,Others,3860875
2017,Asia,24505993
2017,European,2115883
2017,NorthAmerica,354185
2017,Others,3984023
2018,Asia,25645275
2018,European,2459832
2018,NorthAmerica,429394
2018,Others,4140099
2019,Asia,26526595
2019,European,2579165
2019,NorthAmerica,508465
2019,Others,4487218
2020,Asia,4273471
2020,European,537053
2020,NorthAmerica,97517
2020,Others,902381
2021,Asia,895414
2021,European,251392
2021,NorthAmerica,59934
2021,Others,241097
2022,Asia,10943653
2022,European,1744224
2022,NorthAmerica,512839
2022,Others,2905607
